"AVGDAYSTOISSUE","NEIGHBORHOOD","TOTALNUMBER","TOTALVALUE"
"6","Academy","41","943155.0000"
"11","Baden","31","157969.0000"
"17","Bellefontaine/Calvary Cemeteries","2","41355.0000"
"18","Benton Park","148","5341822.0000"
"4","Benton Park West","141","2708877.0000"
"7","Bevo Mill","108","895965.0000"
"69","Botanical Heights","66","8207272.0000"
"8","Boulevard Heights","86","1267897.0000"
"6","Carondelet","73","4959763.0000"
"23","Carondelet Park","1","140000.0000"
"70","Carr Square","3","634200.0000"
"26","Central West End","474","233492276.0000"
"28","Cheltenham","57","29414130.0000"
"18","Clayton Tamm","52","17486877.0000"
"1","Clifton Heights","43","556689.0000"
"18","College Hill","17","91975.0000"
"207","Columbus Square","6","6385307.0000"
"9","Compton Heights","38","20219110.0000"
"78","Covenant Blu-Grand Center","58","4705035.0000"
"30","DeBaliviere Place","46","5366121.0000"
"19","Downtown","309","205628080.0000"
"26","Downtown West","150","101509451.0000"
"10","Dutchtown","133","6639708.0000"
"19","Ellendale","42","6822920.0000"
"21","Fairground","10","1901004.0000"
"0","Fairground Park","0","0.0000"
"11","Forest Park","38","25068935.0000"
"22","Forest Park Southeast","134","15349491.0000"
"5","Fountain Park","13","192200.0000"
"12","Fox Park","76","2303219.0000"
"6","Franz Park","50","1486236.0000"
"16","Gravois Park","72","4406313.0000"
"31","Hamilton Heights","21","942748.0000"
"4","Hi-Pointe","48","897724.0000"
"0","Holly Hills","32","405452.0000"
"109","Hyde Park","43","4249363.0000"
"6","JeffVanderLou","30","468848.0000"
"11","Kings Oak","18","1351826.8500"
"6","Kingsway East","20","272484.0000"
"6","Kingsway West","8","315175.0000"
"30","Kosciusko","29","5441184.0000"
"20","Lafayette Square","73","5639478.0000"
"18","LaSalle Park","16","4039065.0000"
"1","Lewis Place","20","250658.0000"
"4","Lindenwood Park","152","3611589.0000"
"5","Marine Villa","51","1178670.0000"
"5","Mark Twain","25","133318.0000"
"21","Mark Twain I-70 Industrial","22","1403870.0000"
"15","McKinley Heights","48","1256822.0000"
"35","Midtown","94","97468004.0000"
"0","Missouri Botanical Garden","4","25300.0000"
"5","Mount Pleasant","48","648585.0000"
"19","Near North Riverfront","38","10645143.0000"
"4","North Hampton","90","3139497.0000"
"11","North Pointe","20","604777.0000"
"13","North Riverfront","8","476420.0000"
"9","O'Fallon","19","113442.0000"
"168","O'Fallon Park","1","411809.0000"
"42","Old North St. Louis","11","317478.0000"
"0","Outside of City","0","0.0000"
"25","Patch","45","5912054.0000"
"38","Peabody Darst Webbe","18","7202355.0000"
"4","Penrose","21","129800.0000"
"0","Penrose Park","0","0.0000"
"0","Princeton Heights","108","1409937.0000"
"0","Riverview","0","0.0000"
"8","Shaw","182","3954254.0000"
"6","Skinker DeBaliviere","95","13182495.7500"
"12","Soulard","124","8152996.0000"
"6","Southampton","114","4401108.0000"
"11","Southwest Garden","87","6154273.0000"
"4","St. Louis Hills","148","3830957.0000"
"46","St. Louis Place","20","617346.0000"
"15","The Gate District","68","3168597.0000"
"15","The Greater Ville","35","563547.0000"
"14","The Hill","118","6004090.0000"
"6","The Ville","12","51400.0000"
"25","Tiffany","33","263661620.0000"
"2","Tower Grove East","136","3192303.0000"
"19","Tower Grove Park","1","390000.0000"
"5","Tower Grove South","276","16141857.4200"
"0","Unknown","0","0.0000"
"0","Unknown City","0","0.0000"
"231","Vandeventer","65","8048168.0000"
"0","Visitation Park","2","18590.0000"
"24","Walnut Park East","24","2297585.0000"
"1","Walnut Park West","15","84267.0000"
"19","Wells Goodfellow","22","559536.0000"
"11","West End","55","1377271.0000"
"33","Willmore Park","1","23000.0000"
"7","Wydown Skinker","24","1315190.0000"